Make,Model,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,class,prestige
Mercedes,E Class,Universal,315000.0,1800.0,Metan/Propan,Manual,6900.0,18,17500.0,3,2
GAZ,Rare,Sedan,68000.0,2445.0,Petrol,Manual,2222.0,30,2266.6666666666665,2,4
Renault,Megane,Universal,171000.0,1500.0,Diesel,Manual,5700.0,11,15545.454545454546,3,3
Rare,Rare,Hatchback,113000.0,367.0,Electric,Automatic,27000.0,9,12555.555555555557,5,1
Mercedes,E Class,Sedan,275500.0,2200.0,Diesel,Automatic,18350.0,8,34437.5,5,1
Lincoln,Rare,Sedan,157000.0,1998.0,Hybrid,Automatic,17800.0,5,31400.0,5,1
Lexus,NX Series,Crossover,76000.0,1998.0,Petrol,Automatic,27999.0,5,15200.0,5,1
Dodge,Rare,Hatchback,113486.0,1998.0,Metan/Propan,Automatic,4495.0,14,8106.142857142857,3,3
Audi,Rare,Sedan,235000.0,2000.0,Petrol,Manual,2950.0,29,8103.448275862069,2,4
Porsche,Cayenne,Crossover,253444.0,3000.0,Diesel,Automatic,30222.0,10,25344.4,5,1
Lexus,RX Series,SUV,250000.0,3500.0,Hybrid,Automatic,17990.0,13,19230.76923076923,5,1
Volkswagen,Passat,Sedan,179000.0,1400.0,Metan/Propan,Automatic,9800.0,10,17900.0,4,2
BMW,Rare,Crossover,169777.0,2000.0,Diesel,Automatic,16888.0,7,24253.85714285714,5,1
Mercedes,Rare,Crossover,71333.0,2500.0,Diesel,Automatic,43404.0,5,14266.6,5,1
Opel,Vectra,Sedan,340000.0,1800.0,Petrol,Manual,1500.0,28,12142.857142857143,2,4
BMW,7 Series,Sedan,300000.0,3000.0,Diesel,Automatic,11500.0,15,20000.0,4,2
Volkswagen,Touran,Minivan,280000.0,200.0,Diesel,Automatic,5300.0,18,15555.555555555557,3,3
Volkswagen,Passat,Universal,228000.0,1400.0,Metan/Propan,Automatic,5700.0,12,19000.0,3,3
Toyota,Auris,Sedan,185000.0,1400.0,Diesel,Manual,6500.0,12,15416.666666666666,3,3
Nissan,Qashqai,Hatchback,200415.0,1500.0,Diesel,Manual,6200.0,13,15416.53846153846,3,3
BMW,3 Series,Minivan,136000.0,2000.0,Diesel,Automatic,13200.0,6,22666.666666666668,5,1
BMW,5 Series,Sedan,250000.0,3000.0,Petrol,Automatic,7490.0,19,13157.894736842103,4,2
Dacia,Logan,Sedan,195000.0,1200.0,Metan/Propan,Manual,3999.0,8,24375.0,3,3
Dacia,Duster,SUV,170000.0,1500.0,Diesel,Manual,8800.0,7,24285.714285714286,4,2
Volkswagen,Golf,Universal,191500.0,1400.0,Petrol,Manual,5700.0,12,15958.333333333334,3,3
Volkswagen,Passat,Sedan,292000.0,1800.0,Petrol,Manual,1150.0,31,9419.354838709678,2,4
BMW,3 Series,Sedan,250000.0,2000.0,Diesel,Manual,4499.0,18,13888.888888888889,3,3
Nissan,Qashqai,Crossover,158000.0,1500.0,Diesel,Manual,11750.0,7,22571.42857142857,4,2
Peugeot,Rare,Crossover,132000.0,1500.0,Diesel,Automatic,16500.0,4,33000.0,5,1
BMW,X5,SUV,260500.0,3000.0,Petrol,Automatic,8999.0,17,15323.529411764706,4,2
Renault,Megane,Universal,11111.0,1500.0,Diesel,Manual,3200.0,17,653.5882352941177,3,4
Nissan,Qashqai,SUV,180000.0,1500.0,Diesel,Manual,8999.0,9,20000.0,4,2
Ford,Transit Connect,Minivan,151658.0,1800.0,Diesel,Manual,3899.0,10,15165.8,3,3
Renault,Scenic,Microvan,185480.0,1461.0,Diesel,Manual,7550.0,7,26497.14285714286,4,2
BMW,7 Series,Sedan,215210.0,3000.0,Diesel,Automatic,16500.0,13,16554.615384615383,5,1
